FeatureID,FeatureName,Group1-Region1 Average,Group1-Region1 Log2 Fold Change,Group1-Region1 P-Value,Group2-Region1 Average,Group2-Region1 Log2 Fold Change,Group2-Region1 P-Value,Group1-Region2 Average,Group1-Region2 Log2 Fold Change,Group1-Region2 P-Value,Group2-Region2 Average,Group2-Region2 Log2 Fold Change,Group2-Region2 P-Value
ExampleGeneEnsembl-1,ExGene1,0.755487537,0.835725703,0.776033341,0.519153408,0.24992654,0.544559829,0.659297274,0.998376483,0.976957223,0.612797853,0.593705286,0.107089175
ExampleGeneEnsembl-2,ExGene2,0.770591101,0.755095318,0.88324685,0.495996977,0.559088493,0.648153614,0.925389759,0.848563919,0.642249781,0.349241912,0.432796899,0.971347407
ExampleGeneEnsembl-3,ExGene3,0.793878036,0.212934808,0.935706607,0.343553097,0.754826131,0.237349372,0.886569538,0.059687315,0.438252681,0.338065893,0.32017415,0.934835889
ExampleGeneEnsembl-4,ExGene4,0.538680572,0.454123821,0.219315705,0.832902363,0.470865722,0.937302882,0.96044999,0.493005563,0.82622689,0.379143587,0.477120532,0.758500046
ExampleGeneEnsembl-5,ExGene5,0.815697586,0.041492802,0.759957395,0.269184288,0.970101384,0.934478281,0.450640647,0.704349337,0.719688567,0.059822388,0.460568895,0.625698512
ExampleGeneEnsembl-6,ExGene6,0.187264858,0.785761935,0.547156175,0.983708156,0.606579227,0.218203028,0.451915512,0.746648437,0.843544073,0.911091182,0.687679785,0.579730734
ExampleGeneEnsembl-7,ExGene7,0.265301124,0.550047673,0.826468278,0.488878176,0.355591746,0.120830049,0.374557537,0.717785221,0.092269862,0.250019489,0.370126067,0.479212482
ExampleGeneEnsembl-8,ExGene8,0.760763633,0.723833498,0.341451458,0.632923978,0.640508728,0.432138049,0.72172532,0.380133015,0.13779555,0.500840933,0.215676641,0.827872057
ExampleGeneEnsembl-9,ExGene9,0.79732139,0.524227112,0.320564545,0.486801251,0.633204748,0.250444639,0.943862885,0.986506744,0.070986596,0.101702024,0.052901097,0.350124942
ExampleGeneEnsembl-10,ExGene10,0.199563241,0.756427818,0.373481039,0.654076249,0.226948359,0.636676703,0.919229571,0.368904269,0.892560105,0.18940573,0.149083444,0.346592751
ExampleGeneEnsembl-11,ExGene11,0.043920041,0.283617515,0.103678527,0.496628714,0.938102001,0.141610124,0.832830802,0.546332069,0.372622176,0.274192739,0.65654405,0.18135301
ExampleGeneEnsembl-12,ExGene12,0.223366564,0.932585407,0.169113582,0.813348255,0.932646832,0.97920435,0.875688027,0.156543157,0.987723377,0.407900973,0.054138556,0.859418337
ExampleGeneEnsembl-13,ExGene13,0.248618358,0.443563421,0.11415305,0.164478902,0.475228833,0.201221322,0.481007363,0.827226261,0.024302329,0.886486003,0.985527335,0.459259653
ExampleGeneEnsembl-14,ExGene14,0.727640557,0.551657307,0.65144957,0.638584742,0.742929567,0.41218735,0.461565512,0.981967787,0.926744399,0.056562238,0.295756445,0.621887297
ExampleGeneEnsembl-15,ExGene15,0.993825533,0.548233579,0.904097292,0.300796643,0.968606527,0.610650292,0.162008902,0.523156827,0.331836239,0.573100032,0.364130305,0.898961588
ExampleGeneEnsembl-16,ExGene16,0.883743811,0.53500556,0.347220835,0.267410121,0.369558653,0.056558595,0.803785681,0.90607884,0.918363185,0.487912597,0.112975932,0.35485957
ExampleGeneEnsembl-17,ExGene17,0.969585288,0.467811514,0.552998673,0.756038592,0.560844932,0.39641402,0.63085033,0.363258418,0.471057505,0.94344329,0.63558215,0.107718872
ExampleGeneEnsembl-18,ExGene18,0.653866386,0.04833361,0.429452515,0.369569269,0.74384786,0.566674685,0.580718392,0.087271271,0.670966653,0.515235302,0.152409671,0.898278409
ExampleGeneEnsembl-19,ExGene19,0.073013305,0.526303989,0.380414332,0.64101248,0.568135055,0.164674127,0.204122835,0.710387965,0.283512871,0.785542676,0.975595814,0.839557587
ExampleGeneEnsembl-20,ExGene20,0.201471976,0.187738053,0.689644167,0.811572186,0.549569602,0.417204333,0.653213654,0.879196979,0.376820133,0.83978379,0.670264091,0.587512023
ExampleGeneEnsembl-21,ExGene21,0.575530339,0.607516085,0.113666549,0.844357207,0.222363913,0.891143836,0.053715318,0.00015567,0.985595396,0.578577883,0.326716428,0.891412833
ExampleGeneEnsembl-22,ExGene22,0.359954874,0.599772399,0.348721935,0.10610546,0.592252252,0.304595739,0.341200402,0.300597737,0.351302933,0.228929428,0.884848764,0.083140892
ExampleGeneEnsembl-23,ExGene23,0.381395291,0.423323865,0.858387973,0.915853081,0.162937156,0.647510414,0.431209417,0.588853642,0.669911884,0.375815274,0.778255122,0.987816206
ExampleGeneEnsembl-24,ExGene24,0.388124735,0.97513835,0.443444873,0.092163041,0.974520121,0.414550905,0.805237556,0.732688237,0.462153393,0.846245782,0.987280704,0.477007822
ExampleGeneEnsembl-25,ExGene25,0.777944951,0.822623505,0.458430029,0.242497454,0.756754549,0.804593884,0.108491072,0.246821313,0.868511595,0.827031092,0.888370214,0.8071228
ExampleGeneEnsembl-26,ExGene26,0.530808972,0.883065627,0.496545942,0.325721607,0.418424855,0.34115946,0.512678737,0.37141725,0.739095342,0.899216569,0.053314298,0.666791938
ExampleGeneEnsembl-27,ExGene27,0.797768832,0.111110534,0.085575577,0.820169723,0.332399612,0.823181352,0.965036431,0.77746066,0.229185676,0.535483977,0.346876323,0.674351567
ExampleGeneEnsembl-28,ExGene28,0.231529912,0.948795378,0.960008807,0.035031357,0.009933878,0.257616377,0.23441155,0.059214154,0.883299984,0.585555062,0.322197986,0.347452668
ExampleGeneEnsembl-29,ExGene29,0.533635317,0.419081921,0.970975222,0.209349937,0.710589666,0.538334506,0.706885403,0.910127094,0.343717082,0.37081762,0.362411645,0.269503213
ExampleGeneEnsembl-30,ExGene30,0.666662589,0.815560022,0.971187528,0.938603792,0.253299245,0.725239435,0.932406281,0.080232633,0.844261123,0.514495842,0.093432589,0.876055188
ExampleGeneEnsembl-31,ExGene31,0.395611114,0.674853098,0.853975328,0.355254503,0.885594554,0.546902063,0.201317182,0.295253206,0.015111097,0.676798233,0.117593844,0.897747965
ExampleGeneEnsembl-32,ExGene32,0.153455042,0.128549307,0.62943075,0.246620422,0.883095015,0.848056989,0.69296865,0.946339141,0.537800713,0.185869133,0.465593533,0.645160043
ExampleGeneEnsembl-33,ExGene33,0.128997715,0.89845649,0.839976888,0.577886012,0.164690847,0.390264754,0.815741977,0.547320481,0.104059246,0.353070497,0.899879912,0.565842195
ExampleGeneEnsembl-34,ExGene34,0.496961661,0.508039788,0.736384962,0.134062854,0.341184892,0.872881303,0.147310462,0.90709312,0.211894195,0.490685147,0.391711836,0.844000888
ExampleGeneEnsembl-35,ExGene35,0.074328774,0.415167336,0.908186121,0.94972615,0.808755963,0.311864674,0.79843364,0.163655039,0.59596741,0.966047346,0.895140709,0.63876714
ExampleGeneEnsembl-36,ExGene36,0.619847644,0.376642505,0.47173361,0.813411478,0.68771727,0.250260699,0.382998599,0.995069733,0.407240412,0.349169671,0.406946749,0.244454321
ExampleGeneEnsembl-37,ExGene37,0.891312254,0.690665323,0.908394553,0.996901189,0.679438987,0.89827255,0.13127727,0.274552728,0.900081485,0.66859461,0.21234144,0.890652877
ExampleGeneEnsembl-38,ExGene38,0.960318821,0.127434593,0.124418885,0.940030456,0.522331772,0.923778958,0.27362227,0.594293346,0.330847211,0.21077609,0.800971852,0.510334362
ExampleGeneEnsembl-39,ExGene39,0.710264284,0.026282394,0.677877141,0.511819339,0.693072378,0.022315735,0.046033604,0.755627857,0.278900164,0.309767533,0.789796095,0.454064476
ExampleGeneEnsembl-40,ExGene40,0.896886026,0.15829968,0.088319512,0.815866293,0.912303573,0.462562832,0.427768502,0.919234845,0.890673136,0.627048384,0.74905637,0.888980551
ExampleGeneEnsembl-41,ExGene41,0.122946251,0.532956882,0.733197975,0.146178978,0.245791587,0.321759795,0.308275552,0.85664204,0.34094203,0.458051013,0.804626322,0.394606375
ExampleGeneEnsembl-42,ExGene42,0.688954075,0.793459378,0.502566517,0.805133039,0.785448364,0.928656392,0.256016027,0.093394333,0.441669152,0.675372966,0.772208079,0.592206239
ExampleGeneEnsembl-43,ExGene43,0.584033831,0.259092689,0.767305664,0.9352944,0.001806546,0.090660623,0.580244481,0.31620772,0.046898214,0.876649778,0.309643211,0.250001936
ExampleGeneEnsembl-44,ExGene44,0.14746388,0.485985335,0.040625774,0.334257162,0.338234737,0.515287877,0.008720992,0.935568747,0.671481294,0.062294573,0.998313239,0.215140593
ExampleGeneEnsembl-45,ExGene45,0.106678316,0.001897751,0.612868059,0.447377812,0.535583728,0.354289437,0.315464652,0.305726548,0.093985884,0.969076492,0.476062616,0.542994678
ExampleGeneEnsembl-46,ExGene46,0.534176536,0.74833385,0.952261533,0.563577241,0.116170278,0.787031929,0.651915524,0.49229804,0.255424895,0.55710622,0.854032129,0.077657503
ExampleGeneEnsembl-47,ExGene47,0.059425456,0.150097071,0.16168235,0.657801418,0.644043287,0.230089702,0.356558248,0.581337706,0.824018017,0.774633926,0.291000126,0.253718588
ExampleGeneEnsembl-48,ExGene48,0.879317584,0.15588024,0.058257286,0.901747553,0.097246608,0.837997275,0.49450381,0.420747094,0.32015815,0.658284274,0.505055991,0.146604588
ExampleGeneEnsembl-49,ExGene49,0.413673349,0.742866627,0.319793703,0.229586078,0.743019199,0.714461733,0.435977199,0.872566465,0.310423639,0.353162141,0.759838944,0.849680111
ExampleGeneEnsembl-50,ExGene50,0.083970457,0.549172512,0.252629361,0.30397601,0.039215363,0.74107126,0.467526275,0.505054579,0.842597508,0.636726152,0.099614611,0.180296891
ExampleGeneEnsembl-51,ExGene51,0.490700383,0.60720749,0.123469602,0.02317947,0.416457955,0.888653144,0.246846085,0.965647607,0.966023631,0.754642529,0.000244714,0.608296917
ExampleGeneEnsembl-52,ExGene52,0.694567458,0.934761204,0.834126222,0.945798239,0.551623731,0.9506168,0.456908667,0.032458533,0.963252543,0.683963101,0.972131382,0.285868402
ExampleGeneEnsembl-53,ExGene53,0.584629452,0.454533057,0.240283652,0.034974208,0.910020747,0.93498441,0.225631467,0.096093738,0.781945285,0.746858767,0.499955241,0.559765635
ExampleGeneEnsembl-54,ExGene54,0.261204968,0.402089817,0.856051516,0.456018679,0.393639231,0.631910038,0.769151596,0.471481452,0.048142898,0.985023838,0.031472461,0.306641623
ExampleGeneEnsembl-55,ExGene55,0.231077072,0.203352758,0.589770879,0.799437418,0.202442554,0.172375984,0.948326987,0.21575282,0.312490547,0.935669662,0.159333352,0.044346264
ExampleGeneEnsembl-56,ExGene56,0.581194224,0.558613392,0.558949852,0.593524934,0.781948004,0.477864783,0.836522099,0.225491376,0.023437849,0.625379015,0.282387379,0.561623458
ExampleGeneEnsembl-57,ExGene57,0.536438671,0.044890831,0.089599891,0.271911742,0.847258798,0.632109599,0.416996291,0.31967751,0.172539102,0.3786573,0.047879578,0.783423225
ExampleGeneEnsembl-58,ExGene58,0.435459579,0.607217338,0.842280882,0.533051942,0.459442834,0.22775842,0.159074525,0.129112108,0.856145323,0.784325154,0.591962335,0.01623787
ExampleGeneEnsembl-59,ExGene59,0.448487592,0.236059867,0.162023512,0.424018271,0.224779224,0.341157419,0.692323102,0.770462833,0.917830369,0.979806789,0.895160605,0.141267303
ExampleGeneEnsembl-60,ExGene60,0.110059673,0.120029951,0.46316185,0.347605389,0.204586222,0.934699578,0.845596741,0.239297101,0.824775643,0.813817437,0.245885211,0.132672697
ExampleGeneEnsembl-61,ExGene61,0.280741811,0.925905591,0.515847315,0.989836011,0.27464962,0.6670139,0.772211385,0.091058136,0.894874011,0.5446772,0.056792471,0.108402265
ExampleGeneEnsembl-62,ExGene62,0.11327561,0.221634078,0.822212589,0.744203451,0.54780065,0.383907635,0.245497643,0.828984821,0.666015811,0.11393236,0.760419173,0.320824127
ExampleGeneEnsembl-63,ExGene63,0.177978964,0.701824246,0.088802085,0.976344372,0.250807078,0.771283805,0.542422172,0.484885065,0.153541556,0.208814939,0.896984377,0.484838936
ExampleGeneEnsembl-64,ExGene64,0.410948153,0.582424042,0.244618607,0.12359717,0.281778438,0.959006916,0.280607781,0.931682734,0.481774205,0.809739028,0.769335498,0.333773157
ExampleGeneEnsembl-65,ExGene65,0.798570697,0.262309584,0.816989217,0.956128721,0.801682296,0.797198892,0.844925284,0.366363449,0.334977946,0.329467734,0.391487917,0.625465528
ExampleGeneEnsembl-66,ExGene66,0.208665626,0.269080552,0.932721473,0.737326027,0.998164573,0.431201475,0.552297032,0.071896422,0.262334161,0.607070821,0.973289399,0.993941767
ExampleGeneEnsembl-67,ExGene67,0.321345923,0.184784438,0.872165345,0.975593393,0.062401799,0.348576028,0.127849121,0.115480393,0.790162791,0.327577673,0.443479915,0.670188255
ExampleGeneEnsembl-68,ExGene68,0.415271508,0.071468613,0.161195226,0.14953145,0.812662757,0.766178382,0.898948186,0.795892365,0.599335914,0.978808737,0.641388095,0.560101228
ExampleGeneEnsembl-69,ExGene69,0.871930566,0.743907771,0.880524415,0.00504853,0.819219561,0.864404128,0.121211987,0.092483046,0.127954968,0.87145051,0.38033274,0.369802941
ExampleGeneEnsembl-70,ExGene70,0.362102647,0.933751514,0.161841174,0.257539971,0.572712428,0.857036948,0.008900134,0.353323426,0.20420003,0.047635959,0.661902182,0.61190086
ExampleGeneEnsembl-71,ExGene71,0.990462977,0.281192154,0.153857406,0.500859271,0.628396838,0.949183925,0.576634679,0.779231918,0.421948445,0.810274021,0.192125913,0.989261407
ExampleGeneEnsembl-72,ExGene72,0.806827889,0.815313861,0.338021058,0.774146112,0.247961572,0.324453567,0.91750068,0.701259589,0.659060218,0.361160445,0.894821118,0.556313758
ExampleGeneEnsembl-73,ExGene73,0.947681666,0.901435524,0.086794576,0.293772824,0.450404336,0.051705199,0.175772081,0.413261191,0.380129994,0.073625408,0.725626703,0.189596902
ExampleGeneEnsembl-74,ExGene74,0.185599368,0.36945173,0.584914558,0.447063422,0.033589124,0.757113706,0.840600259,0.822503817,0.735816531,0.183510206,0.312952945,0.727740753
