FeatureID,FeatureName,Group1-Region1 Average,Group1-Region1 Log2 Fold Change,Group1-Region1 P-Value,Group2-Region1 Average,Group2-Region1 Log2 Fold Change,Group2-Region1 P-Value,Group1-Region2 Average,Group1-Region2 Log2 Fold Change,Group1-Region2 P-Value,Group2-Region2 Average,Group2-Region2 Log2 Fold Change,Group2-Region2 P-Value
ExampleGeneEnsembl-1,ExGene1,0.667972633,0.832455138,0.593505174,0.852899001,0.214099017,0.970196273,0.330468141,0.937220185,0.415926765,0.079033531,0.725319138,0.319003676
ExampleGeneEnsembl-2,ExGene2,0.208563112,0.915323186,0.676960066,0.4520072,0.111213151,0.758413139,0.759928739,0.520405613,0.648831951,0.84766734,0.851178268,0.486556697
ExampleGeneEnsembl-3,ExGene3,0.852484811,0.527662445,0.558309449,0.066944532,0.202549631,0.363575103,0.554872808,0.918183538,0.891567812,0.66898527,0.191068627,0.606761809
ExampleGeneEnsembl-4,ExGene4,0.089022977,0.060719961,0.643399996,0.017200343,0.074332721,0.502664663,0.692393881,0.572057101,0.971585295,0.867154856,0.29118883,0.522287677
ExampleGeneEnsembl-5,ExGene5,0.106225982,0.583094654,0.159900744,0.009097966,0.959671843,0.599180847,0.550403477,0.730324954,0.232665423,0.246565789,0.221967516,0.873484844
ExampleGeneEnsembl-6,ExGene6,0.102285752,0.847655607,0.250601543,0.847433887,0.998447111,0.724215677,0.150217693,0.161740142,0.738382955,0.13586548,0.989998049,0.190730891
ExampleGeneEnsembl-7,ExGene7,0.778550018,0.804303746,0.616148129,0.302787983,0.462391166,0.14696433,0.564803511,0.092038293,0.139729812,0.556261167,0.239972031,0.209557515
ExampleGeneEnsembl-8,ExGene8,0.296762461,0.059619289,0.354324803,0.544143087,0.910877471,0.399979209,0.854347545,0.099569655,0.268546541,0.37486117,0.292765668,0.997326001
ExampleGeneEnsembl-9,ExGene9,0.668675834,0.462587927,0.504388872,0.379115144,0.52248061,0.999968707,0.775081139,0.654414739,0.764036293,0.496112909,0.102421059,0.532509367
ExampleGeneEnsembl-10,ExGene10,0.469406818,0.967617064,0.291446108,0.887989021,0.502476135,0.661043502,0.37451172,0.285143461,0.107985176,0.830466181,0.639113845,0.944163087
ExampleGeneEnsembl-11,ExGene11,0.244443194,0.838192287,0.879032016,0.861621629,0.108630503,0.741257596,0.203205342,0.658703968,0.517583995,0.050623596,0.444202986,0.902748378
ExampleGeneEnsembl-12,ExGene12,0.185288391,0.192071925,0.425280691,0.384464182,0.282122183,0.649796383,0.479421756,0.025878192,0.176868107,0.916227471,0.389454627,0.365523608
ExampleGeneEnsembl-13,ExGene13,0.036445763,0.550858457,0.903449869,0.276411659,0.529777588,0.753248602,0.485235498,0.7647916,0.810513464,0.76411067,0.57085596,0.014744485
ExampleGeneEnsembl-14,ExGene14,0.350864898,0.322809427,0.455172822,0.039251887,0.248135793,0.195534306,0.033001366,0.183046024,0.562942019,0.524409231,0.697712506,0.968492392
ExampleGeneEnsembl-15,ExGene15,0.778939827,0.672193367,0.259645828,0.538145609,0.92392995,0.092307562,0.926042536,0.777590688,0.962287445,0.030063869,0.983859802,0.901551544
ExampleGeneEnsembl-16,ExGene16,0.351805528,0.231713563,0.201366434,0.48669585,0.119822397,0.694635701,0.748891094,0.213480341,0.093897962,0.24169396,0.392688905,0.140426629
ExampleGeneEnsembl-17,ExGene17,0.27621658,0.842324195,0.528970402,0.682188484,0.645713875,0.145443237,0.682706213,0.564010232,0.221545556,0.175877978,0.491344611,0.952268249
ExampleGeneEnsembl-18,ExGene18,0.598184676,0.856635079,0.642540157,0.170378826,0.995519742,0.95504632,0.78547869,0.124781412,0.036999921,0.87600612,0.477602761,0.048364526
ExampleGeneEnsembl-19,ExGene19,0.058601267,0.197573453,0.495739769,0.944502163,0.390318729,0.576778594,0.329339056,0.998955197,0.56533002,0.185878334,0.798047049,0.739789035
